true_bounds,sia_bounds,crown_bounds,bern_ibf_bounds,sia_time,crown_time,bern_ibf_time
"[[-0.022368124, -0.021384811], [-0.019191442, -0.018836465], [-0.01930061, -0.018900624], [-0.019319545, -0.018902265], [-0.019324046, -0.018888587]]","[[-51.055767, 140.3258], [-84.62619, 182.81671], [-60.024178, 186.4566], [-141.91306, 206.10565], [-94.84707, 204.95401]]","[[-0.035444926, 0.08822408], [-0.06395048, 0.12546088], [-0.040273245, 0.12595502], [-0.091551736, 0.14294004], [-0.05662067, 0.14936931]]","[[-1.092486023902893, 0.17725563049316406], [-1.2305041551589966, 0.3084390163421631], [-1.2619962692260742, 0.21000178158283234], [-1.0087605714797974, 0.6501412987709045], [-1.0142693519592285, 0.3896437883377075]]",0.0368754863739013,7.222497940063477,1.7789723873138428
"[[-0.0208698, -0.0208698], [-0.0182586, -0.0182586], [0.0181765, 0.0181765], [-0.0184268, -0.0184268], [0.0179381, 0.0179381]]","[[-145.92987, 488.32452], [-129.9093, 405.0951], [-138.57239, 457.09634], [-195.84564, 395.2263], [-218.7898, 524.0547]]","[[-8.32797, 31.389906], [-7.760981, 27.866644], [-8.33207, 31.7516], [-12.539998, 25.622015], [-13.73848, 35.86145]]","[[-1.2166776657104492, 0.30209770798683167], [-1.160710334777832, 0.28169429302215576], [-1.0910416841506958, 0.3472132086753845], [-1.0859565734863281, 0.8245385885238647], [-1.1126645803451538, 0.6529521346092224]]",0.0335409641265869,6.974020481109619,1.605970859527588
"[[-0.023628717, 0.5491049], [-0.020560201, 0.53899884], [-0.020154398, 0.5868015], [-0.02086802, 0.49939385], [-0.022305261, 0.5937156]]","[[-2743.1038, 7642.503], [-4629.0356, 9980.727], [-3212.5625, 10141.67], [-7724.17, 11133.016], [-4990.5566, 11096.419]]","[[-322.2488, 964.54474], [-510.96597, 1231.3088], [-368.79117, 1258.9989], [-880.0824, 1342.0181], [-607.5935, 1342.5948]]","[[-204.03273010253906, 451.0611877441406], [-342.5924377441406, 565.2023315429688], [-237.54489135742188, 597.9287109375], [-572.0046997070312, 620.8527221679688], [-368.5041809082031, 642.6796264648438]]",0.0336408615112304,6.79205322265625,1.8988428115844729
"[[-0.020789875, -0.011885094], [-0.019579008, 0.003557248], [-0.019854745, -0.00029499084], [-0.019653782, 0.003120631], [-0.019649722, 0.0010229684]]","[[-273.1486, 269.49606], [-546.802, 589.1829], [-661.3594, 461.2176], [-611.7494, 278.53735], [-634.86847, 310.8135]]","[[-26.621304, 23.10037], [-50.855034, 56.347603], [-65.570984, 42.323414], [-55.683144, 26.739248], [-57.612297, 29.157131]]","[[-0.15458625555038452, 0.16451358795166016], [-0.2841545045375824, 0.5573794841766357], [-0.39569079875946045, 0.39380943775177], [-1.0625357627868652, 0.46422553062438965], [-0.8928784728050232, 0.3019767105579376]]",0.0335111618041992,7.0136559009552,1.8511052131652832
"[[-0.049728155, 0.086245], [0.016492277, 0.032829106], [-0.027933855, -0.012966223], [0.017205454, 0.033244006], [-0.024497692, -0.0052985614]]","[[-23282.584, 52447.164], [-947.7274, 4878.5137], [-3927.944, 2198.1113], [-762.948, 6377.5884], [-3356.49, 3853.0713]]","[[-2029.6085, 4242.7056], [-81.80218, 435.51917], [-361.17825, 207.82959], [-62.930573, 582.81366], [-264.73035, 340.4135]]","[[-5044.24755859375, 8358.5498046875], [-205.13075256347656, 810.6929321289062], [-843.51416015625, 407.7945556640625], [-167.39735412597656, 1078.8001708984375], [-716.653564453125, 687.29296875]]",0.0316808223724365,7.122295379638672,1.7813684940338137
"[[-0.020632846, -0.010735089], [-0.019568777, -0.0019473769], [-0.019690486, -0.0015986301], [-0.019711968, -0.0018206816], [-0.019578563, -0.0010784212]]","[[-273.1486, 269.49606], [-546.802, 589.1829], [-661.3594, 461.2176], [-611.7494, 278.53735], [-634.86847, 310.8135]]","[[-26.621304, 23.10037], [-50.855034, 56.347603], [-65.570984, 42.323414], [-55.683144, 26.739248], [-57.612297, 29.157131]]","[[-0.15458625555038452, 0.16451358795166016], [-0.2841545045375824, 0.5573794841766357], [-0.39569079875946045, 0.39380943775177], [-1.0625357627868652, 0.46422553062438965], [-0.8928784728050232, 0.3019767105579376]]",0.0318439006805419,6.672746896743774,1.7794811725616455
"[[-0.04182285, 0.055724517], [0.017233495, 0.038991548], [-0.023072945, -0.013491096], [0.017261783, 0.04013061], [-0.021140799, -0.0018205084]]","[[-23282.584, 52447.164], [-947.7274, 4878.5137], [-3927.944, 2198.1113], [-762.948, 6377.5884], [-3356.49, 3853.0713]]","[[-2029.6085, 4242.7056], [-81.80218, 435.51917], [-361.17825, 207.82959], [-62.930573, 582.81366], [-264.73035, 340.4135]]","[[-5044.24755859375, 8358.5498046875], [-205.13075256347656, 810.6929321289062], [-843.51416015625, 407.7945556640625], [-167.39735412597656, 1078.8001708984375], [-716.653564453125, 687.29296875]]",0.0345432758331298,6.854051351547241,1.802884817123413
"[[-0.026121743, 0.099860206], [-0.02839359, -0.014674621], [0.017478831, 0.044114836], [-0.021448473, -0.0031745704], [0.017978156, 0.04666175]]","[[-50806.53, 197062.22], [-21199.605, 13904.0], [-4246.827, 28891.41], [-6657.6226, 18136.988], [-5169.697, 27861.465]]","[[-3813.946, 13311.069], [-1465.9645, 985.48395], [-314.92047, 1907.029], [-463.2366, 1169.1959], [-381.01587, 1873.269]]","[[-8021.154296875, 18969.11328125], [-3350.663330078125, 1627.3017578125], [-670.4370727539062, 2852.4716796875], [-1052.6832275390625, 1942.889892578125], [-817.1754760742188, 2726.606689453125]]",0.033313512802124,6.723276376724243,1.9942805767059328
"[[-0.036851294, 0.11806467], [-0.038151488, -0.013490614], [0.017488614, 0.044527613], [-0.023526788, -0.0021595713], [0.016538095, 0.050961226]]","[[-50806.53, 197062.22], [-21199.605, 13904.0], [-4246.827, 28891.41], [-6657.6226, 18136.988], [-5169.697, 27861.465]]","[[-3813.946, 13311.069], [-1465.9645, 985.48395], [-314.92047, 1907.029], [-463.2366, 1169.1959], [-381.01587, 1873.269]]","[[-58364.59765625, 178864.484375], [-24365.263671875, 13784.576171875], [-4879.34423828125, 26511.28125], [-7648.75390625, 17241.845703125], [-5939.12060546875, 25458.650390625]]",0.0327036380767822,7.063543796539307,1.9822099208831787
"[[-0.04289288, 0.10629153], [-0.03714052, -0.013997807], [0.01749431, 0.047186814], [-0.025152054, 0.00595396], [0.018137978, 0.05611898]]","[[-50806.53, 197062.22], [-21199.605, 13904.0], [-4246.827, 28891.41], [-6657.6226, 18136.988], [-5169.697, 27861.465]]","[[-3813.946, 13311.069], [-1465.9645, 985.48395], [-314.92047, 1907.029], [-463.2366, 1169.1959], [-381.01587, 1873.269]]","[[-3297.909423828125, 6508.53125], [-1386.2467041015625, 608.194580078125], [-276.4020690917969, 991.4327392578125], [-434.0975341796875, 699.8661499023438], [-337.4544372558594, 941.8875732421875]]",0.033484935760498,7.120285034179688,1.8211262226104736
"[[-0.032369714, 0.13800247], [-0.030026184, -0.008786618], [0.017460737, 0.06394093], [-0.023877434, -0.0010479745], [0.017590676, 0.065515876]]","[[-50806.53, 197062.22], [-21199.605, 13904.0], [-4246.827, 28891.41], [-6657.6226, 18136.988], [-5169.697, 27861.465]]","[[-3813.946, 13311.069], [-1465.9645, 985.48395], [-314.92047, 1907.029], [-463.2366, 1169.1959], [-381.01587, 1873.269]]","[[-57.637996673583984, 29.007375717163086], [-19.134521484375, 2.6067748069763184], [-3.714102268218994, 3.5535054206848145], [-1.0201480388641357, 5.810876369476318], [-6.167372703552246, 3.9559292793273926]]",0.0344297885894775,7.162399053573608,1.603133201599121
"[[-0.061503418, 0.07012353], [0.015962642, 0.03653951], [-0.02526331, -0.0110629015], [0.015940815, 0.036407232], [-0.022616474, -0.004754725]]","[[-23282.584, 52447.164], [-947.7274, 4878.5137], [-3927.944, 2198.1113], [-762.948, 6377.5884], [-3356.49, 3853.0713]]","[[-2029.6085, 4242.7056], [-81.80218, 435.51917], [-361.17825, 207.82959], [-62.930573, 582.81366], [-264.73035, 340.4135]]","[[-49.675567626953125, 43.31639099121094], [-2.159485340118408, 4.6103315353393555], [-8.290949821472168, 2.9112534523010254], [-1.6759698390960693, 6.580360412597656], [-7.407473564147949, 4.467388153076172]]",0.0333123207092285,7.192840576171875,2.230259418487549
"[[-0.045567516, 0.39478394], [0.017914617, 0.4121524], [-0.022087425, 0.36079717], [0.015193485, 0.42975372], [-0.032639287, 0.32906905]]","[[-8064.127, 16128.656], [-3939.4858, 7983.9834], [-3257.77, 8752.032], [-6053.8945, 8552.137], [-4628.371, 9092.168]]","[[-928.3824, 1687.9875], [-409.81985, 857.6951], [-340.81274, 906.6439], [-630.435, 886.78973], [-499.3433, 952.4789]]","[[-2941.738525390625, 4501.158203125], [-1436.6810302734375, 2320.529541015625], [-1187.62744140625, 2504.108154296875], [-2206.784912109375, 2408.37255859375], [-1687.201416015625, 2534.785400390625]]",0.0328586101531982,6.741790294647217,1.95137619972229
"[[-0.032965407, 0.40487134], [0.018442605, 0.40180662], [-0.02299878, 0.41367632], [0.018593455, 0.39124566], [-0.04951611, 0.41045716]]","[[-8064.127, 16128.656], [-3939.4858, 7983.9834], [-3257.77, 8752.032], [-6053.8945, 8552.137], [-4628.371, 9092.168]]","[[-928.3824, 1687.9875], [-409.81985, 857.6951], [-340.81274, 906.6439], [-630.435, 886.78973], [-499.3433, 952.4789]]","[[-15823.99609375, 24581.00390625], [-7850.2685546875, 12663.9833984375], [-6475.59521484375, 13678.3203125], [-12059.7890625, 13182.8154296875], [-9174.0703125, 13891.666015625]]",0.0333626270294189,7.096000909805298,1.9797348976135247
"[[-0.039283063, 0.43127087], [0.01792518, 0.46670687], [-0.0226452, 0.41121662], [0.01841683, 0.4749302], [-0.026284276, 0.39798167]]","[[-8064.127, 16128.656], [-3939.4858, 7983.9834], [-3257.77, 8752.032], [-6053.8945, 8552.137], [-4628.371, 9092.168]]","[[-928.3824, 1687.9875], [-409.81985, 857.6951], [-340.81274, 906.6439], [-630.435, 886.78973], [-499.3433, 952.4789]]","[[-1869.2213134765625, 3222.878173828125], [-912.33056640625, 1632.6710205078125], [-753.9691162109375, 1773.34814453125], [-1401.1011962890625, 1720.408203125], [-1071.3116455078125, 1816.9947509765625]]",0.0346438884735107,6.817384958267212,1.970801591873169
"[[-0.0442528, 0.5775305], [0.01856243, 0.62771946], [-0.022105832, 0.51625395], [0.017998138, 0.65413874], [-0.028423429, 0.42486587]]","[[-8064.127, 16128.656], [-3939.4858, 7983.9834], [-3257.77, 8752.032], [-6053.8945, 8552.137], [-4628.371, 9092.168]]","[[-928.3824, 1687.9875], [-409.81985, 857.6951], [-340.81274, 906.6439], [-630.435, 886.78973], [-499.3433, 952.4789]]","[[-3180.818603515625, 5172.22021484375], [-1556.0743408203125, 2643.1318359375], [-1278.975830078125, 2853.841796875], [-2393.79443359375, 2761.663330078125], [-1822.8001708984375, 2901.3056640625]]",0.0344927310943603,7.3181188106536865,2.020913362503052
"[[-0.03947716, 0.5059821], [0.018321717, 0.5076263], [-0.025897484, 0.5249751], [0.018557057, 0.4392096], [-0.022886489, 0.51867384]]","[[-8064.127, 16128.656], [-3939.4858, 7983.9834], [-3257.77, 8752.032], [-6053.8945, 8552.137], [-4628.371, 9092.168]]","[[-928.3824, 1687.9875], [-409.81985, 857.6951], [-340.81274, 906.6439], [-630.435, 886.78973], [-499.3433, 952.4789]]","[[-3180.818603515625, 5172.22021484375], [-1556.0743408203125, 2643.1318359375], [-1278.975830078125, 2853.841796875], [-2393.79443359375, 2761.663330078125], [-1822.8001708984375, 2901.3056640625]]",0.0343298912048339,6.834604740142822,1.9279217720031736
"[[-0.05893076, 0.41324833], [0.017945029, 0.42295322], [-0.022697333, 0.3676149], [0.017517593, 0.43994877], [-0.033052146, 0.30167356]]","[[-8064.127, 16128.656], [-3939.4858, 7983.9834], [-3257.77, 8752.032], [-6053.8945, 8552.137], [-4628.371, 9092.168]]","[[-928.3824, 1687.9875], [-409.81985, 857.6951], [-340.81274, 906.6439], [-630.435, 886.78973], [-499.3433, 952.4789]]","[[-1869.2213134765625, 3222.878173828125], [-912.33056640625, 1632.6710205078125], [-753.9691162109375, 1773.34814453125], [-1401.1011962890625, 1720.408203125], [-1071.3116455078125, 1816.9947509765625]]",0.0341556072235107,6.7547338008880615,1.9157538414001465
"[[-0.043886434, 0.52465737], [0.018274898, 0.51849264], [-0.022495799, 0.53177524], [0.016264303, 0.4769814], [-0.023380779, 0.46484178]]","[[-8064.127, 16128.656], [-3939.4858, 7983.9834], [-3257.77, 8752.032], [-6053.8945, 8552.137], [-4628.371, 9092.168]]","[[-928.3824, 1687.9875], [-409.81985, 857.6951], [-340.81274, 906.6439], [-630.435, 886.78973], [-499.3433, 952.4789]]","[[-2941.738525390625, 4501.158203125], [-1436.6810302734375, 2320.529541015625], [-1187.62744140625, 2504.108154296875], [-2206.784912109375, 2408.37255859375], [-1687.201416015625, 2534.785400390625]]",0.032351016998291,6.690152645111084,1.905236005783081
